     velsurf       thk_regu           glen
    136.4864        13.7317        -0.5326
    130.5498        13.6811        -0.5326
    124.9280        13.6417        -0.5326
    119.5597        13.6089        -0.5326
    114.4130        13.5798        -0.5326
    109.5429        13.5521        -0.5326
    104.9547        13.5273        -0.5326
    100.5962        13.5035        -0.5326
     96.4530        13.4773        -0.5326
     92.5301        13.4525        -0.5326
     88.8498        13.4256        -0.5326
     85.4320        13.4025        -0.5326
     82.2157        13.3757        -0.5326
     79.1857        13.3430        -0.5326
     76.3440        13.3079        -0.5326
     73.7170        13.2674        -0.5326
     71.2578        13.2237        -0.5326
     68.9421        13.1697        -0.5326
     66.7545        13.1201        -0.5326
     64.6990        13.0646        -0.5326
     62.7394        13.0149        -0.5326
     60.9239        12.9521        -0.5326
     59.2086        12.8928        -0.5326
     57.6147        12.8325        -0.5326
     56.1306        12.7590        -0.5326
     54.7167        12.6993        -0.5326
     53.3902        12.6383        -0.5326
     52.1242        12.5871        -0.5326
     50.9527        12.5241        -0.5326
     49.8459        12.4699        -0.5326
     48.7874        12.4070        -0.5326
     47.7178        12.3549        -0.5326
     46.7077        12.3018        -0.5326
     45.7479        12.2568        -0.5326
     44.8321        12.2068        -0.5326
     43.9511        12.1668        -0.5326
     43.1217        12.1196        -0.5326
     42.3268        12.0739        -0.5326
     41.5696        12.0298        -0.5326
     40.8604        11.9851        -0.5326
     40.1703        11.9426        -0.5326
     39.5138        11.9029        -0.5326
     38.8626        11.8565        -0.5326
     38.2243        11.8162        -0.5326
     37.6094        11.7657        -0.5326
     36.9953        11.7309        -0.5326
     36.4203        11.6860        -0.5326
     35.8572        11.6531        -0.5326
     35.3177        11.6115        -0.5326
     34.7842        11.5792        -0.5326
     34.2792        11.5397        -0.5326
     33.7640        11.5116        -0.5326
     33.2777        11.4722        -0.5326
     32.7796        11.4407        -0.5326
     32.3208        11.3979        -0.5326
     31.8763        11.3625        -0.5326
     31.4514        11.3229        -0.5326
     31.0520        11.2926        -0.5326
     30.6782        11.2490        -0.5326
     30.3138        11.2214        -0.5326
     29.9741        11.1841        -0.5326
     29.6450        11.1565        -0.5326
     29.3365        11.1244        -0.5326
     29.0332        11.0983        -0.5326
     28.7533        11.0635        -0.5326
     28.4823        11.0428        -0.5326
     28.2373        11.0120        -0.5326
     28.0025        10.9900        -0.5326
     27.7896        10.9588        -0.5326
     27.5887        10.9345        -0.5326
     27.4041        10.9053        -0.5326
     27.2336        10.8826        -0.5326
     27.0703        10.8558        -0.5326
     26.9181        10.8379        -0.5326
     26.7743        10.8140        -0.5326
     26.6361        10.8020        -0.5326
     26.5182        10.7764        -0.5326
     26.3997        10.7664        -0.5326
     26.3046        10.7410        -0.5326
     26.2091        10.7302        -0.5326
     26.1363        10.7034        -0.5326
     26.0483        10.6959        -0.5326
     25.9851        10.6738        -0.5326
     25.9097        10.6676        -0.5326
     25.8587        10.6424        -0.5326
     25.7969        10.6332        -0.5326
     25.7539        10.6083        -0.5326
     25.6964        10.5994        -0.5326
     25.6603        10.5774        -0.5326
     25.6056        10.5727        -0.5326
     25.5719        10.5519        -0.5326
     25.5154        10.5487        -0.5326
     25.4809        10.5295        -0.5326
     25.4331        10.5243        -0.5326
     25.4003        10.5078        -0.5326
     25.3612        10.5018        -0.5326
     25.3384        10.4848        -0.5326
     25.2997        10.4816        -0.1135
     60.3223        10.4631        -0.1135
     59.3764        10.5224        -0.1135
     58.4642        10.6159        -0.1135
     57.5897        10.7260        -0.1135
     56.7493        10.8494        -0.1135
     55.9530        10.9794        -0.1135
     55.2080        11.1111        -0.1135
     54.5079        11.2452        -0.1135
     53.8589        11.3724        -0.1135
     53.2390        11.5041        -0.1135
     52.6557        11.6332        -0.1135
     52.1021        11.7621        -0.1135
     51.5894        11.8824        -0.1135
     51.0998        12.0031        -0.1135
     50.6265        12.1269        -0.1135
     50.1792        12.2474        -0.1135
     49.7581        12.3634        -0.1135
     49.3478        12.4832        -0.1135
     48.9667        12.6020        -0.1135
     48.6012        12.7134        -0.1135
     48.2718        12.8132        -0.1135
     47.9489        12.9140        -0.1135
     47.6416        13.0167        -0.1135
     47.3448        13.1095        -0.1135
     47.0621        13.2055        -0.1135
     46.7936        13.2940        -0.1135
     46.5376        13.3872        -0.1135
     46.2949        13.4697        -0.1135
     46.0566        13.5591        -0.1135
     45.8330        13.6414        -0.1135
     45.6122        13.7312        -0.1135
     45.4101        13.8032        -0.1135
     45.2102        13.8845        -0.1135
     45.0213        13.9553        -0.1135
     44.8298        14.0369        -0.1135
     44.6653        14.0990        -0.1135
     44.4872        14.1720        -0.1135
     44.3212        14.2342        -0.1135
     44.1590        14.3090        -0.1135
     44.0023        14.3631        -0.1135
     43.8591        14.4296        -0.1135
     43.7184        14.4814        -0.1135
     43.5857        14.5409        -0.1135
     43.4462        14.5967        -0.1135
     43.3207        14.6468        -0.1135
     43.2065        14.6969        -0.1135
     43.0896        14.7435        -0.1135
     42.9822        14.7906        -0.1135
     42.8857        14.8369        -0.1135
     42.7762        14.8783        -0.1135
     42.6773        14.9162        -0.1135
     42.5857        14.9577        -0.1135
     42.4908        14.9976        -0.1135
     42.4002        15.0408        -0.1135
     42.3133        15.0783        -0.1135
     42.2272        15.1206        -0.1135
     42.1525        15.1543        -0.1135
     42.0780        15.1918        -0.1135
     42.0179        15.2153        -0.1135
     41.9606        15.2363        -0.1135
     41.9054        15.2589        -0.1135
     41.8599        15.2845        -0.1135
     41.7985        15.3038        -0.1135
     41.7612        15.3210        -0.1135
     41.7091        15.3451        -0.1135
     41.6523        15.3656        -0.1135
     41.6101        15.3811        -0.1135
     41.5711        15.3945        -0.1135
     41.5308        15.4104        -0.1135
     41.5040        15.4239        -0.1135
     41.4628        15.4426        -0.1135
     41.4255        15.4598        -0.1135
     41.3738        15.4834        -0.1135
     41.3442        15.4952        -0.1135
     41.3073        15.5158        -0.1135
     41.2978        15.5189        -0.1135
     41.2661        15.5374        -0.1135
     41.2444        15.5438        -0.1135
     41.2124        15.5661        -0.1135
     41.1869        15.5663        -0.1135
     41.1591        15.5848        -0.1135
     41.1613        15.5814        -0.1135
     41.1313        15.6017        -0.1135
     41.1080        15.6031        -0.1135
     41.0823        15.6192        -0.1135
     41.0711        15.6238        -0.1135
     41.0584        15.6360        -0.1135
     41.0445        15.6425        -0.1135
     41.0259        15.6511        -0.1135
     41.0088        15.6501        -0.1135
     40.9865        15.6657        -0.1135
     40.9947        15.6600        -0.1135
     40.9653        15.6709        -0.1135
     40.9687        15.6692        -0.1135
     40.9414        15.6803        -0.1135
     40.9453        15.6797        -0.1135
     40.9181        15.6891        -0.1135
     40.9283        15.6852        -0.1135
     40.8981        15.6984        -0.1135
     40.9107        15.6922        -0.4032
     75.6921        15.7071        -0.4032
     71.8141        15.4934        -0.4032
     68.2219        15.3147        -0.4032
     64.8858        15.1595        -0.4032
     61.7621        15.0179        -0.4032
     58.8344        14.8882        -0.4032
     56.0735        14.7630        -0.4032
     53.4859        14.6469        -0.4032
     51.0546        14.5338        -0.4032
     48.7663        14.4235        -0.4032
     46.6041        14.3280        -0.4032
     44.6080        14.2193        -0.4032
     42.6952        14.1340        -0.4032
     40.9389        14.0375        -0.4032
     39.2723        13.9558        -0.4032
     37.7294        13.8665        -0.4032
     36.2785        13.7869        -0.4032
     34.9124        13.7067        -0.4032
     33.6464        13.6266        -0.4032
